beer,brewery,style,status
Moosehead Lager,Moosehead Breweries,Pale Lager - International / Premium,regular
Alexander Keith's India Pale Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Blonde Ale / Golden Ale,regular
Garrison Imperial I.P.A.,Garrison Brewing Company,IPA,regular
Moosehead Pale Ale,Moosehead Breweries,Blonde Ale / Golden Ale,regular
Propeller ESB,Propeller Brewing Co.,Bitter - Premium / Strong / Extra Special (ESB),regular
Propeller IPA,Propeller Brewing Co.,IPA,special seasonal
Propeller Revolution Russian Imperial Stout,Propeller Brewing Co.,Stout - Imperial,winter seasonal
Propeller London-Style Porter,Propeller Brewing Co.,Porter,regular
Alexander Keith's Red Amber Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Red Ale / International Amber Ale,regular
Gahan 1772,Gahan House / Gahan Beer (Murphy Hospitality Group),IPA,regular
Garrison Ol' Fog Burner,Garrison Brewing Company,Barley Wine / Wheat Wine / Rye Wine,spring seasonal
Alexander Keith's Cascade Hop Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Pale Ale - American (APA),regular
Gahan Sydney Street,Gahan House / Gahan Beer (Murphy Hospitality Group),Stout,regular
Picaroons Yippee IPA,Picaroons Brewing Company,IPA,autumn seasonal
Moosehead Light,Moosehead Breweries,Pale Lager - International / Premium,regular
Garrison Grand Baltic Porter,Garrison Brewing Company,Porter - Baltic,winter seasonal
Gahan Iron Bridge Brown Ale,Gahan House / Gahan Beer (Murphy Hospitality Group),Brown Ale,regular
Gahan Blueberry Ale,Gahan House / Gahan Beer (Murphy Hospitality Group),Flavored - Fruit,series seasonal
Alexander Keith's Hallertauer Hop Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Pale Ale - American (APA),regular
Garrison Nut Brown,Garrison Brewing Company,Brown Ale,regular
Alexander Keith's Galaxy Hop Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Pale Ale - American (APA),regular
Gahan Sir John A's,Gahan House / Gahan Beer (Murphy Hospitality Group),Wheat Ale,series seasonal
Garrison Hopyard Pale,Garrison Brewing Company,Pale Ale - American (APA),regular
Gahan Island Red Amber,Gahan House / Gahan Beer (Murphy Hospitality Group),Red Ale / International Amber Ale,regular
Trailway Hu Jon Hops,Trailway Brewing Company,IPA - Hazy (NEIPA),regular
Moosehead [ Radler ],Moosehead Breweries,Radler / Shandy,regular
Prince Edward Island Beach Chair Lager,Prince Edward Island Brewing Company (Murphy Hospitality Group),Pale Lager - American,regular
Moosehead Cracked Canoe,Moosehead Breweries,Pale Lager - International / Premium,regular
Garrison Irish Red,Garrison Brewing Company,Red Ale - Irish,regular
2 Crows Pollyanna,2 Crows Brewing,IPA - Hazy (NEIPA),regular
Pump House Blueberry Ale,Pump House Brewery,Flavored - Fruit,regular
Alexander Keith's Nova Scotia Style Brown Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Brown Ale,regular
Picaroons Timberhog Stout,Picaroons Brewing Company,Stout - Dry / Irish,regular
James Ready  5.5,Moosehead Breweries,Pale Lager - American,regular
Propeller Pale Ale,Propeller Brewing Co.,Pale Ale - English,regular
Trailway Luster,Trailway Brewing Company,ISA - Session IPA,regular
Moosehead Boundary Ale,Moosehead Breweries,Red Ale / International Amber Ale,regular
Clancys Amber,Moosehead Breweries,Red Ale / International Amber Ale,regular
Picaroons Best Bitter,Picaroons Brewing Company,Bitter - Premium / Strong / Extra Special (ESB),regular
