beer,brewery,style,status
Central City Red Racer IPA,Central City Brewers + Distillers,IPA,regular
Driftwood Fat Tug IPA,Driftwood Brewery,IPA,regular
Four Winds Nectarous,Four Winds Brewing Co.,Sour / Wild Beer - Flavored,special seasonal
Phillips Amnesiac Double IPA,Phillips Brewing & Malting Co.,IIPA DIPA - Imperial / Double IPA,regular
Central City Red Racer Imperial IPA (Red Betty),Central City Brewers + Distillers,IIPA DIPA - Imperial / Double IPA,special seasonal
Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery,Barley Wine / Wheat Wine / Rye Wine,regular
Driftwood Singularity Russian Imperial Stout,Driftwood Brewery,Stout - Imperial,regular
Superflux Colour & Shape,Superflux Beer Company,IPA - Hazy (NEIPA),regular
Steamworks Pale Ale,Steamworks Brewing Co. (Canada),Pale Ale - American (APA),regular
Howe Sound Woolly Bugger,Howe Sound Brewing,Barley Wine / Wheat Wine / Rye Wine,winter seasonal
Central City Thor's Hammer Barley Wine,Central City Brewers + Distillers,Barley Wine / Wheat Wine / Rye Wine,special seasonal
Steamworks Flagship Hazy IPA,Steamworks Brewing Co. (Canada),IPA - Hazy (NEIPA),regular
Steamworks Jasmine IPA,Steamworks Brewing Co. (Canada),IPA - Flavored,special seasonal
Central City Session India Pale Ale,Central City Brewers + Distillers,ISA - Session IPA,regular
Granville Island English Bay Pale Ale,Granville Island Brewing (Six Pints - Molson Coors),Pale Ale - English,regular
Kokanee,Columbia Brewery - Kokanee Beer (Labatt - AB InBev),Pale Lager - American,regular
Four Winds Juxtapose,Four Winds Brewing Co.,IPA - Sour / Wild,special seasonal
Steamworks Killer Cucumber Ale,Steamworks Brewing Co. (Canada),Flavored - Pumpkin / Vegetables,spring seasonal
Phillips Hop Circle IPA,Phillips Brewing & Malting Co.,IPA,regular
Central City Red Racer Northwest Pale Ale,Central City Brewers + Distillers,Pale Ale - American (APA),regular
Howe Sound Pothole Filler,Howe Sound Brewing,Stout - Imperial,regular
Tree Hophead Double IPA,Tree Brewing Co. (Fireweed Brewing Corp),IIPA DIPA - Imperial / Double IPA,winter seasonal
Parallel 49 Ruby Tears,Parallel 49 Brewing Company,Red Ale / International Amber Ale,regular
Steamworks Heroica Red Ale,Steamworks Brewing Co. (Canada),Red Ale / International Amber Ale,autumn seasonal
Phillips Longboat Double Chocolate Porter,Phillips Brewing & Malting Co.,Porter - Flavored,regular
Howe Sound Megadestroyer Imperial Licorice Stout,Howe Sound Brewing,Stout - Imperial Flavored / Pastry,special seasonal
Mt. Begbie Nasty Habit IPA,Mt. Begbie Brewing Co.,IPA,regular
Howe Sound Total Eclipse of the Hop,Howe Sound Brewing,IIPA DIPA - Imperial / Double IPA,regular
Parallel 49 Filthy Dirty IPA,Parallel 49 Brewing Company,IPA,regular
Tree Cutthroat Pale Ale,Tree Brewing Co. (Fireweed Brewing Corp),Pale Ale - American (APA),regular
Howe Sound King Heffy,Howe Sound Brewing,Weissbier - Hefeweizen,summer seasonal
Cannery Thornless Blackberry Porter,Cannery Brewing,Porter - Flavored,regular
Granville Island Lions Winter Ale,Granville Island Brewing (Six Pints - Molson Coors),Strong Ale - English,winter seasonal
Parallel 49 Trash Panda,Parallel 49 Brewing Company,IPA,regular
Phillips Electric Unicorn,Phillips Brewing & Malting Co.,IPA - White,special seasonal
Driftwood Sartori Harvest IPA,Driftwood Brewery,IPA,autumn seasonal
Central City Thor's Hammer Barley Wine - Bourbon Barrel Aged,Central City Brewers + Distillers,Barley Wine / Wheat Wine / Rye Wine,special seasonal
Steamworks Black Angel IPA,Steamworks Brewing Co. (Canada),IPA - Black / Brown / Cascadian Dark,autumn seasonal
Howe Sound Pumpkineater,Howe Sound Brewing,Flavored - Pumpkin / Vegetables,autumn seasonal
Parallel 49 Salty Scot,Parallel 49 Brewing Company,Scotch Ale / Wee Heavy,regular
Steamworks Pumpkin Ale,Steamworks Brewing Co. (Canada),Flavored - Pumpkin / Vegetables,autumn seasonal
Steamworks Pilsner,Steamworks Brewing Co. (Canada),Pilsener - Bohemian / Czech,regular
Central City Red Racer India Style Red Ale (ESB),Central City Brewers + Distillers,IPA - Red,regular
Phillips Blue Buck ,Phillips Brewing & Malting Co.,Pale Ale - English,regular
Parallel 49 Jerkface 9000,Parallel 49 Brewing Company,Wheat Ale,special seasonal
Driftwood Belle Royale (2013-),Driftwood Brewery,Sour / Wild Beer - Flavored,regular
Old Yale Sasquatch Stout,Old Yale Brewing Co.,Stout,regular
"Parallel 49 Snap, Crackle, Hop Imperial Rice IPA",Parallel 49 Brewing Company,Crackle,regular
Four Winds Vexillum,Four Winds Brewing Co.,IIPA DIPA - Imperial / Double IPA,series seasonal
Four Winds Triplicity,Four Winds Brewing Co.,Tripel,special seasonal
Steamworks White Angel IPA,Steamworks Brewing Co. (Canada),IPA - White,spring seasonal
Tree Captivator Doppelbock,Tree Brewing Co. (Fireweed Brewing Corp),Bock - Doppelbock,spring seasonal
